iter	RMSE
0	526.54278
1	515.3886739
2	504.6644148
3	494.2101603
4	484.3889583
5	474.600142
6	465.3817052
7	456.4740041
8	447.2901731
9	439.363569
10	431.5795386
11	423.5139547
12	415.5416062
13	408.0253985
14	400.9110659
15	393.8397473
16	386.8450831
17	380.4263195
18	374.3203111
19	368.3214998
20	362.6508298
21	356.931746
22	351.5184554
23	346.1290798
24	340.8392316
25	336.0765725
26	331.0940876
27	326.3769833
28	321.9491113
29	317.5779479
30	313.5695024
31	309.7735075
32	305.9746904
33	302.4085537
34	298.9000106
35	295.3854957
36	292.4043816
37	289.2198265
38	286.2775927
39	283.3154611
40	280.4984855
41	277.8088118
42	275.2489283
43	272.8018197
44	270.5039091
45	268.1666413
46	265.983734
47	263.7554192
48	261.8027596
49	259.840451
50	257.8394668
51	255.986838
52	254.2725046
53	252.6785243
54	251.1661437
55	249.5860012
56	248.037998
57	246.646828
58	245.2768498
59	244.0099063
60	242.7780832
61	241.6636929
62	240.553715
63	239.5242868
64	238.4953104
65	237.3541928
66	236.5572989
67	235.5342651
68	234.667981
69	233.7196654
70	232.8788698
71	232.2287719
72	231.3837953
73	230.6511123
74	229.9766992
75	229.3310613
76	228.7522145
77	228.1210555
78	227.5796613
79	227.011845
80	226.3715196
81	225.8057275
82	225.249857
83	224.7138951
84	224.2328197
85	223.8058671
86	223.3866376
87	222.9445414
88	222.6027821
89	222.1349214
90	221.7012622
91	221.3178368
92	220.903621
93	220.4952944
94	220.0858553
95	219.7481261
96	219.4690821
97	219.2072927
98	218.8571874
99	218.5855273
100	218.3151145
101	218.0729612
102	217.7894635
103	217.5295023
104	217.2191286
105	216.9336713
106	216.6919204
107	216.4190027
108	216.2353017
109	215.9942491
110	215.777036
111	215.5504699
112	215.3286271
113	215.0951409
114	214.9045426
115	214.6971211
116	214.4645819
117	214.2844869
118	214.1158932
119	213.9757769
120	213.7534355
121	213.5760458
122	213.3866253
123	213.2189444
124	213.0687999
125	212.943378
126	212.6053178
127	212.4646136
128	212.3165051
129	212.0533377
130	211.9544661
131	211.8430692
132	211.6815944
133	211.3328583
134	211.0049979
135	210.7974702
136	210.7139256
137	210.6311192
138	210.5255717
139	210.3914645
140	210.2253286
141	210.1218152
142	209.9931466
143	209.8645806
144	209.5371947
145	209.2877937
146	209.0160913
147	208.9439852
148	208.8057901
149	208.6635023
150	208.5245509
151	208.2551887
152	208.2168704
153	207.9713607
154	207.872361
155	207.7988016
156	207.7043156
157	207.6492012
158	207.5585608
159	207.2865448
160	207.1754454
161	207.0891467
162	206.9311154
163	206.7057651
164	206.6597256
165	206.5848064
166	206.4399134
167	206.3726201
168	206.3205866
169	206.241423
170	206.1593101
171	206.1054082
172	206.0115438
173	205.9652331
174	205.8741427
175	205.7835961
176	205.7169837
177	205.6335331
178	205.5922151
179	205.5460711
180	205.4349508
181	205.3340987
182	205.2618695
183	205.2232977
184	205.1572833
185	205.1133744
186	205.0619788
187	205.0064914
188	204.9826023
189	204.8231056
190	204.6542767
191	204.610559
192	204.6002034
193	204.5389189
194	204.4969067
195	204.4425692
196	204.3951803
197	204.3213356
198	204.2750502
199	204.1920637
200	204.0117449
201	203.9915391
202	203.8995019
203	203.8848609
204	203.8359694
205	203.7559028
206	203.7353474
207	203.5662198
208	203.5445763
209	203.3839952
210	203.3714692
211	203.3333832
212	203.2650727
213	203.2378031
214	203.1788183
215	203.1278976
216	202.9682855
217	202.9000635
218	202.8653575
219	202.814692
220	202.789092
221	202.7271139
222	202.6762031
223	202.6341299
224	202.598517
225	202.5242364
226	202.4430607
227	202.2896626
228	202.2127003
229	202.1398796
230	202.1042698
231	202.0927239
232	201.951754
233	201.781622
234	201.7097568
235	201.6467773
236	201.6181287
237	201.5718837
