iter	Passed	Remaining
0	602	601484
1	609	304066
2	752	249932
3	795	198123
4	947	188624
5	1132	187601
6	1147	162836
7	1190	147612
8	1217	134085
9	1293	128056
10	1301	116975
11	1312	108034
12	1444	109660
13	1449	102085
14	1458	95790
15	1463	89982
16	1497	86598
17	1555	84876
18	1562	80660
19	1566	76755
20	1570	73224
21	1685	74911
22	1692	71883
23	1870	76069
24	1878	73278
25	1887	70727
26	1902	68552
27	1909	66303
28	1919	64264
29	1925	62264
30	1933	60423
31	1937	58610
32	1980	58023
33	1984	56387
34	1990	54872
35	1996	53451
36	2001	52083
37	2008	50837
38	2014	49647
39	2021	48527
40	2049	47947
41	2063	47070
42	2086	46437
43	2135	46388
44	2142	45477
45	2156	44717
46	2161	43819
47	2167	42993
48	2231	43306
49	2238	42530
50	2276	42359
51	2391	43600
52	2403	42950
53	2409	42205
54	2431	41777
55	2485	41897
56	2491	41214
57	2498	40581
58	2503	39936
59	2508	39305
60	2513	38697
61	2523	38173
62	2528	37606
63	2537	37108
64	2543	36584
65	2548	36069
66	2557	35620
67	2573	35266
68	2645	35696
69	2660	35344
70	2673	34984
71	2705	34865
72	2753	34971
73	2759	34524
74	2763	34086
75	2770	33682
76	2775	33264
77	2779	32860
78	2792	32554
79	2801	32220
80	2814	31933
81	2819	31567
82	2848	31469
83	2856	31148
84	2866	30852
85	2879	30603
86	2929	30741
87	2938	30452
88	2950	30197
89	2959	29925
90	2965	29621
91	3014	29749
92	3020	29461
93	3027	29183
94	3033	28894
95	3040	28630
96	3047	28370
97	3055	28124
98	3067	27921
99	3077	27693
100	3101	27608
101	3106	27347
102	3111	27094
103	3117	26861
104	3123	26620
105	3136	26454
106	3142	26228
107	3151	26027
108	3158	25820
109	3167	25629
110	3175	25430
111	3183	25238
112	3190	25047
113	3200	24875
114	3211	24712
115	3218	24526
116	3226	24353
117	3245	24256
118	3250	24065
119	3260	23909
120	3269	23751
121	3281	23615
122	3294	23490
123	3318	23446
124	3335	23350
125	3353	23261
126	3369	23164
127	3382	23041
128	3400	22962
129	3427	22940
130	3434	22780
131	3445	22656
132	3451	22498
133	3479	22487
134	3514	22518
135	3524	22391
136	3530	22240
137	3593	22445
138	3613	22384
139	3639	22354
140	3644	22202
141	3653	22075
142	3708	22224
143	3723	22136
144	3728	21987
145	3733	21836
146	3738	21692
147	3744	21558
148	3749	21417
149	3783	21438
150	3807	21407
151	3819	21307
152	3837	21244
153	3843	21113
154	3849	20986
155	3860	20884
156	3871	20786
157	3885	20704
158	3897	20617
159	3904	20496
160	3909	20370
161	3914	20247
162	3919	20128
163	3931	20042
164	3939	19935
165	3945	19820
166	3950	19704
167	3960	19616
168	3983	19589
169	3999	19525
170	4011	19445
171	4015	19331
172	4021	19223
173	4027	19118
174	4036	19031
175	4050	18963
176	4075	18950
177	4080	18844
178	4087	18745
179	4094	18652
180	4108	18591
181	4119	18514
182	4129	18436
183	4156	18435
184	4191	18466
185	4237	18544
186	4242	18445
187	4254	18377
188	4259	18278
189	4269	18200
190	4339	18378
191	4370	18390
192	4386	18343
193	4395	18260
194	4400	18164
195	4406	18075
196	4427	18049
197	4433	17957
198	4446	17897
199	4456	17825
200	4476	17793
201	4482	17709
202	4493	17640
203	4534	17694
204	4561	17691
205	4584	17670
206	4591	17588
207	4600	17518
208	4639	17560
209	4650	17495
210	4656	17413
211	4689	17432
212	4843	17896
213	4852	17824
214	4863	17756
215	4878	17706
216	4949	17859
217	4955	17775
218	4960	17689
219	4966	17606
220	4972	17529
221	4996	17509
222	5001	17427
223	5007	17345
224	5012	17264
225	5018	17187
226	5051	17202
227	5084	17215
228	5096	17158
229	5101	17078
230	5107	17003
231	5112	16922
232	5136	16910
233	5168	16918
234	5173	16842
235	5179	16768
236	5184	16692
237	5190	16619
238	5250	16719
239	5255	16641
240	5259	16565
241	5265	16492
242	5270	16419
243	5277	16350
244	5317	16385
245	5322	16314
246	5328	16245
247	5334	16176
248	5344	16120
249	5396	16188
250	5400	16116
251	5409	16057
252	5414	15985
253	5419	15915
254	5424	15847
255	5437	15803
256	5450	15758
257	5467	15723
258	5472	15658
259	5479	15596
260	5515	15616
261	5522	15555
262	5528	15493
263	5536	15434
264	5572	15456
265	5590	15426
266	5601	15379
267	5610	15323
268	5618	15267
269	5625	15210
270	5629	15144
271	5634	15080
272	5649	15043
273	5654	14983
274	5659	14921
275	5664	14859
276	5669	14797
277	5674	14736
278	5691	14708
279	5697	14651
280	5703	14593
281	5709	14536
282	5755	14582
283	5762	14528
284	5771	14480
285	5802	14487
286	5823	14468
287	5840	14438
288	5899	14513
289	5917	14488
290	5944	14483
291	5968	14470
292	5973	14413
293	6023	14464
294	6034	14422
295	6051	14392
296	6058	14340
297	6063	14283
298	6068	14227
299	6161	14377
300	6193	14383
301	6198	14326
302	6239	14353
303	6244	14297
304	6251	14244
305	6258	14193
306	6263	14138
