iter	Passed	Remaining
0	189	189223
1	200	100192
2	205	68131
3	209	52101
4	265	52813
5	303	50284
6	311	44154
7	319	39622
8	328	36188
9	342	33899
10	348	31351
11	354	29167
12	359	27316
13	364	25692
14	369	24294
15	375	23114
16	383	22172
17	453	24715
18	499	25783
19	503	24670
20	507	23669
21	511	22752
22	516	21959
23	521	21213
24	525	20502
25	530	19865
26	685	24719
27	692	24028
28	697	23349
29	703	22734
30	709	22174
31	713	21588
32	720	21114
33	750	21323
34	754	20811
35	759	20328
36	763	19871
37	767	19429
38	771	19017
39	776	18630
40	781	18272
41	785	17915
42	789	17571
43	793	17247
44	797	16931
45	801	16629
46	806	16346
47	810	16071
48	814	15809
49	818	15559
50	823	15318
51	827	15093
52	832	14869
53	836	14650
54	840	14442
55	845	14245
56	850	14064
57	855	13895
58	863	13766
59	875	13720
60	886	13647
61	891	13491
62	896	13339
63	902	13202
64	909	13079
65	917	12978
66	923	12853
67	940	12887
68	944	12747
69	949	12614
70	955	12497
71	961	12389
72	967	12283
73	971	12159
74	976	12038
75	980	11917
76	985	11809
77	992	11737
78	1004	11711
79	1056	12147
80	1102	12506
81	1108	12411
82	1114	12316
83	1122	12245
84	1133	12199
85	1140	12117
86	1144	12008
87	1149	11914
88	1155	11823
89	1160	11733
90	1164	11636
91	1169	11542
92	1174	11451
93	1178	11361
94	1183	11272
95	1188	11195
96	1194	11118
97	1198	11033
98	1203	10950
99	1208	10873
100	1213	10802
101	1218	10725
102	1223	10651
103	1227	10574
104	1233	10510
105	1239	10453
106	1244	10388
107	1255	10369
108	1261	10315
109	1269	10267
110	1275	10212
111	1281	10163
112	1289	10118
113	1304	10135
114	1311	10092
115	1325	10099
116	1384	10451
117	1391	10402
118	1399	10359
119	1406	10315
120	1419	10310
121	1424	10251
122	1450	10340
123	1455	10283
124	1463	10246
125	1473	10223
126	1483	10198
127	1499	10216
128	1506	10170
129	1519	10171
130	1533	10170
131	1543	10151
132	1554	10133
133	1662	10745
134	1672	10716
135	1685	10705
136	1696	10686
137	1706	10658
138	1716	10632
139	1725	10598
140	1738	10589
141	1743	10534
142	1751	10494
143	1758	10451
144	1768	10428
145	1778	10400
146	1783	10346
147	1787	10292
148	1795	10255
149	1801	10208
150	1809	10174
151	1813	10118
152	1820	10076
153	1826	10035
154	1846	10065
155	1855	10038
156	1862	9998
157	1869	9962
158	1875	9918
159	1885	9897
160	1890	9853
161	1901	9838
162	1914	9830
163	1931	9846
164	1936	9801
165	1941	9755
166	1948	9718
167	1953	9672
168	1959	9633
169	1964	9589
170	1969	9549
171	1976	9516
172	1981	9471
173	1985	9427
174	1998	9422
175	2013	9427
176	2023	9408
177	2030	9377
178	2053	9419
179	2059	9382
180	2074	9388
181	2086	9377
182	2095	9357
183	2102	9322
184	2107	9282
185	2114	9253
186	2119	9215
187	2131	9204
188	2136	9168
189	2160	9209
190	2164	9170
191	2169	9129
192	2175	9095
193	2181	9062
194	2188	9034
195	2193	8997
196	2198	8960
197	2208	8946
198	2216	8920
199	2228	8914
200	2235	8887
201	2239	8848
202	2243	8810
203	2250	8783
204	2256	8748
205	2268	8743
206	2273	8709
207	2279	8678
208	2284	8646
209	2290	8616
210	2297	8590
211	2312	8594
212	2319	8570
213	2324	8537
214	2330	8509
215	2334	8474
216	2339	8442
217	2346	8415
218	2354	8397
219	2361	8372
220	2370	8354
221	2398	8406
222	2410	8399
223	2421	8389
224	2427	8361
225	2432	8332
226	2440	8309
227	2447	8288
228	2452	8255
229	2456	8223
230	2460	8191
231	2465	8160
232	2469	8129
233	2473	8098
234	2478	8067
235	2482	8036
236	2486	8005
237	2490	7974
238	2495	7944
239	2499	7914
240	2503	7884
241	2508	7857
242	2513	7829
243	2517	7800
244	2523	7775
245	2528	7749
246	2532	7721
247	2539	7700
248	2544	7673
249	2549	7649
250	2555	7626
251	2562	7605
252	2568	7583
253	2574	7561
254	2579	7535
255	2583	7509
256	2590	7488
257	2594	7460
258	2598	7434
259	2603	7410
260	2608	7384
261	2612	7359
262	2617	7333
263	2622	7309
264	2626	7285
265	2631	7260
266	2634	7233
267	2640	7212
268	2645	7189
269	2650	7166
270	2654	7141
271	2660	7120
272	2664	7095
273	2669	7072
274	2673	7048
275	2678	7025
276	2683	7004
277	2691	6990
278	2696	6967
279	2700	6944
280	2705	6923
281	2711	6903
282	2716	6883
283	2724	6867
284	2735	6862
285	2741	6845
286	2747	6825
287	2751	6803
288	2756	6781
289	2761	6760
290	2767	6743
291	2772	6722
292	2777	6703
293	2782	6681
294	2787	6660
295	2791	6639
296	2796	6619
297	2801	6600
298	2807	6582
299	2812	6561
300	2902	6741
301	2908	6721
302	2913	6702
303	2925	6698
304	2937	6693
305	2944	6677
306	2948	6656
307	2953	6635
308	2957	6614
309	2962	6594
310	2982	6608
311	2987	6588
312	2991	6566
313	2996	6545
314	3000	6525
315	3005	6505
316	3010	6486
317	3016	6468
318	3020	6448
319	3024	6427
320	3029	6407
321	3033	6387
322	3038	6369
323	3044	6351
324	3048	6331
325	3052	6311
326	3057	6291
327	3061	6271
328	3066	6254
329	3071	6235
330	3075	6215
331	3079	6196
332	3088	6185
333	3093	6168
334	3098	6151
335	3105	6137
336	3112	6122
337	3119	6110
338	3126	6096
339	3133	6083
340	3140	6069
341	3144	6050
342	3149	6033
343	3154	6015
344	3160	6000
345	3164	5982
346	3170	5965
347	3177	5953
348	3182	5937
349	3189	5923
350	3195	5908
351	3200	5892
352	3206	5877
353	3215	5867
354	3220	5852
355	3225	5834
356	3229	5817
357	3233	5799
358	3241	5788
359	3246	5771
360	3250	5753
361	3256	5738
362	3260	5722
363	3266	5707
364	3276	5700
365	3285	5690
366	3290	5674
367	3294	5657
368	3298	5640
369	3305	5627
370	3309	5610
371	3313	5593
372	3318	5577
373	3323	5563
374	3329	5549
375	3338	5540
376	3347	5532
377	3355	5522
378	3365	5514
379	3373	5503
380	3382	5496
381	3390	5484
382	3397	5472
383	3408	5467
384	3419	5462
385	3426	5449
386	3432	5436
387	3442	5429
388	3454	5425
389	3459	5411
390	3464	5395
391	3469	5381
392	3475	5368
393	3480	5353
394	3485	5338
395	3489	5322
396	3494	5307
397	3499	5292
398	3505	5280
399	3511	5267
400	3518	5255
401	3524	5243
402	3530	5230
403	3535	5216
404	3540	5201
405	3545	5187
406	3549	5172
407	3554	5157
408	3559	5143
409	3563	5128
410	3568	5113
411	3573	5099
412	3578	5086
413	3583	5071
414	3588	5058
415	3593	5044
416	3600	5034
417	3608	5024
418	3614	5012
419	3620	5000
420	3625	4986
421	3630	4971
422	3634	4958
423	3640	4945
424	3645	4932
425	3650	4919
426	3655	4905
427	3663	4895
428	3668	4882
429	3672	4868
430	3677	4855
431	3681	4841
432	3686	4827
433	3690	4813
434	3715	4825
435	3719	4811
436	3724	4797
437	3728	4784
438	3732	4770
439	3736	4756
440	3741	4742
441	3745	4728
442	3751	4717
443	3762	4711
444	3767	4699
445	3774	4689
446	3781	4678
447	3790	4670
448	3799	4662
449	3806	4652
450	3811	4639
451	3815	4625
452	3822	4615
453	3827	4602
454	3831	4589
455	3836	4576
456	3840	4563
457	3845	4550
458	3849	4537
459	3854	4524
460	3858	4511
461	3862	4498
462	3866	4484
463	3871	4472
464	3876	4460
465	3881	4447
466	3885	4434
467	3889	4421
468	3894	4409
469	3898	4396
470	3902	4383
471	3907	4371
472	3911	4358
473	3915	4345
474	3921	4334
475	3926	4322
476	3931	4310
477	3936	4298
478	3941	4287
479	3950	4279
480	3958	4271
481	3965	4261
482	3970	4250
483	3975	4237
484	3979	4225
485	3985	4214
486	3989	4202
487	3994	4190
488	3998	4178
489	4003	4166
490	4007	4154
491	4012	4143
492	4017	4131
493	4021	4119
494	4025	4106
495	4029	4094
496	4034	4082
497	4038	4070
498	4042	4058
499	4046	4046
500	4050	4034
501	4054	4022
502	4058	4010
